,City,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
0,Aachen,Germany,62.14,22.3,43.38,52.39,56.62,153.14,2016
1,Aalborg,Denmark,81.71,23.53,54.31,63.84,95.81,118.42,2016
2,Aberdeen,United Kingdom,82.12,33.49,59.22,62.94,97.71,124.41,2016
3,Abu Dhabi,United Arab Emirates,62.74,69.91,66.12,53.59,61.65,134.74,2016
4,Accra,Ghana,64.16,46.19,55.7,59.38,49.11,15.31,2016
5,Ad Dammam,Saudi Arabia,67.75,13.5,42.21,79.66,34.24,108.9,2016
6,Addis Ababa,Ethiopia,45.17,21.85,34.19,37.27,23.8,17.63,2016
7,Adelaide,Australia,79.34,33.66,57.83,74.0,78.34,137.87,2016
8,Ahmedabad,India,23.99,5.32,15.2,24.59,15.88,72.71,2016
9,"Akron, OH",United States,86.83,21.98,56.3,94.44,74.23,82.19,2016
10,Al Khobar,Saudi Arabia,47.54,15.95,32.67,40.29,33.96,279.02,2016
11,"Albany, NY",United States,82.22,33.3,59.19,88.75,73.91,158.04,2016
12,"Albuquerque, NM",United States,64.46,25.22,45.98,61.95,68.67,138.87,2016
13,Alessandria,Italy,85.32,9.01,49.39,78.69,76.42,119.38,2016
14,Algiers,Algeria,33.92,10.12,22.71,34.02,26.54,41.82,2016
15,Alicante,Spain,57.09,15.7,37.6,43.99,49.6,85.68,2016
16,"Allentown, PA",United States,86.59,32.41,61.08,91.75,74.59,82.12,2016
17,Almaty,Kazakhstan,31.03,12.24,22.18,25.15,32.52,50.24,2016
18,Amman,Jordan,58.61,13.71,37.47,48.76,57.05,46.07,2016
19,Amsterdam,Netherlands,79.9,50.82,66.21,63.04,87.52,105.97,2016
20,"Anchorage, AK",United States,95.68,43.63,71.17,95.09,86.34,142.68,2016
21,Ankara,Turkey,44.84,9.02,27.97,39.6,33.33,70.6,2016
22,"Ann Arbor, MI",United States,66.78,41.87,55.05,62.84,62.21,160.88,2016
23,Antalya,Turkey,44.48,7.49,27.06,38.9,34.2,60.66,2016
24,Antwerp,Belgium,79.2,27.41,54.81,70.48,89.04,99.12,2016
25,Arad,Romania,34.74,8.1,22.2,28.77,26.16,61.51,2016
26,Arhus,Denmark,81.83,32.82,58.75,59.12,102.57,122.82,2016
27,"Arlington, VA",United States,87.48,75.14,81.67,82.12,88.06,116.39,2016
28,"Asheville, NC",United States,80.21,36.91,59.82,89.02,70.28,143.33,2016
29,Astana,Kazakhstan,31.02,16.27,24.07,23.47,32.11,45.96,2016
30,Asuncion,Paraguay,32.51,9.03,21.45,24.96,26.97,43.43,2016
31,Athens,Greece,58.75,12.24,36.85,45.43,64.36,56.39,2016
32,"Atlanta, GA",United States,73.98,40.9,58.4,74.35,68.63,151.56,2016
33,Auckland,New Zealand,83.71,45.32,65.63,75.33,74.33,104.64,2016
34,"Austin, TX",United States,69.85,50.56,60.77,66.49,69.41,126.94,2016
35,Baghdad,Iraq,47.87,17.03,33.35,36.71,45.15,63.93,2016
36,"Bakersfield, CA",United States,70.52,26.85,49.96,70.77,69.57,142.94,2016
37,Baku,Azerbaijan,29.25,10.84,20.58,24.09,32.12,35.76,2016
38,Bali,Indonesia,39.7,13.57,27.4,42.44,22.62,26.44,2016
39,"Baltimore, MD",United States,76.83,49.19,63.81,76.6,77.41,152.44,2016
40,Bandar Seri Begawan,Brunei,54.51,18.28,37.45,51.97,34.78,66.65,2016
41,Bandung,Indonesia,35.51,7.67,22.4,41.88,15.87,29.78,2016
42,Bangalore,India,26.23,8.67,17.96,26.86,16.46,103.17,2016
43,Bangkok,Thailand,50.51,25.91,38.93,55.05,26.04,49.86,2016
44,Banja Luka,Bosnia And Herzegovina,35.66,6.73,22.04,28.4,26.8,55.04,2016
45,Barcelona,Spain,64.25,27.46,46.93,53.25,62.07,92.16,2016
